33,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 3, 5: 3, 6: 3, 7: 4, 8: 4, 9: 3, 10: 1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
34,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 3, 5: 4, 6: 4, 7: 6, 8: 9, 9: 9, 10: 7, 11: 9, 12: 6, 13: 5, 14: 3, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
35,"{0: 1, 1: 1, 2: 2, 3: 4, 4: 3, 5: 5, 6: 5, 7: 5, 8: 4, 9: 3, 10: 2, 11: 2, 12: 2, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
36,"{0: 1, 1: 2, 2: 3, 3: 5, 4: 4, 5: 5, 6: 4, 7: 3, 8: 3, 9: 2, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
37,"{0: 1, 1: 1, 2: 2, 3: 4, 4: 4, 5: 6, 6: 7, 7: 9, 8: 10, 9: 8, 10: 8, 11: 5, 12: 3, 13: 2, 14: 1, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
38,"{0: 1, 1: 2, 2: 2, 3: 3, 4: 5, 5: 7, 6: 11, 7: 14, 8: 13, 9: 12, 10: 8, 11: 7, 12: 6, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
39,"{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
40,"{0: 1, 1: 1, 2: 2, 3: 3, 4: 3, 5: 3, 6: 2, 7: 3, 8: 3, 9: 4, 10: 3, 11: 2, 12: 2, 13: 2, 14: 2, 15: 2, 16: 2, 17: 1, 18: 0, 19: 0, 20: 0, 21: 0}"
41,"{0: 1, 1: 2, 2: 4, 3: 4, 4: 7, 5: 10, 6: 13, 7: 16, 8: 17, 9: 14, 10: 11, 11: 7, 12: 2, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
42,"{0: 1, 1: 2, 2: 2, 3: 2, 4: 3, 5: 5, 6: 7, 7: 10, 8: 11, 9: 10, 10: 5, 11: 2, 12: 2, 13: 2, 14: 1, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
43,"{0: 1, 1: 2, 2: 3, 3: 5, 4: 7, 5: 12, 6: 16, 7: 18, 8: 18, 9: 17, 10: 12, 11: 7, 12: 4, 13: 2, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
44,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 4, 5: 2, 6: 3, 7: 2, 8: 3, 9: 2, 10: 1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0, 19: 0, 20: 0, 21: 0}"
